# sen(phi)	 cos(phi)	 cos(theta)	 Jpar[nA/m2]
-0.5899	0.8075	-0.4938	110.2594
-0.5899	0.8075	0.4992	-46.4665
-0.5899	0.8075	0.5219	-49.6163
-0.5899	0.8075	0.5436	-51.9425
-0.5899	0.8075	0.5642	-53.1580
-0.6124	0.7905	-0.5305	93.5182
-0.6124	0.7905	-0.5087	100.9986
-0.6124	0.7905	-0.4858	101.8118
-0.6124	0.7905	-0.4620	97.2226
-0.6124	0.7905	0.4676	-59.8275
-0.6124	0.7905	0.4913	-63.2466
-0.6124	0.7905	0.5139	-65.4932
-0.6124	0.7905	0.5355	-66.3011
-0.6336	0.7736	-0.5006	92.9537
-0.6336	0.7736	-0.4779	104.1089
-0.6336	0.7736	-0.4542	106.5037
-0.6336	0.7736	-0.4294	101.8114
-0.6336	0.7736	0.4098	-67.7663
-0.6336	0.7736	0.4353	-73.2260
-0.6336	0.7736	0.4598	-77.6041
-0.6336	0.7736	0.4833	-80.4816
-0.6336	0.7736	0.5057	-81.3695
-0.6535	0.7570	-0.4699	116.4531
-0.6535	0.7570	-0.4463	122.9703
-0.6535	0.7570	-0.4218	120.5070
-0.6535	0.7570	-0.3964	111.5882
-0.6535	0.7570	-0.3700	98.7763
-0.6535	0.7570	0.3762	-76.3930
-0.6535	0.7570	0.4024	-83.1616
-0.6535	0.7570	0.4276	-89.0273
-0.6535	0.7570	0.4519	-93.3073
-0.6720	0.7405	-0.4142	143.5069
-0.6720	0.7405	-0.3891	134.3836
-0.6720	0.7405	-0.3630	120.6880
-0.6720	0.7405	-0.3360	105.1661
-0.6720	0.7405	-0.3082	90.1635
-0.6720	0.7405	0.3148	-71.0383
-0.6720	0.7405	0.3424	-79.3262
-0.6720	0.7405	0.3692	-87.0020
-0.6720	0.7405	0.3950	-94.0500
-0.6720	0.7405	0.4200	-100.0269
-0.6894	0.7243	-0.3818	158.7352
-0.6894	0.7243	-0.3561	143.7590
-0.6894	0.7243	-0.3295	126.7068
-0.6894	0.7243	-0.3021	109.9895
-0.6894	0.7243	-0.2740	95.3577
-0.6894	0.7243	-0.2451	83.8267
-0.6894	0.7243	-0.2155	75.6887
-0.6894	0.7243	0.2225	-41.5603
-0.6894	0.7243	0.2519	-55.6551
-0.6894	0.7243	0.2806	-66.9973
-0.6894	0.7243	0.3086	-76.3096
-0.6894	0.7243	0.3358	-84.3536
-0.6894	0.7243	0.3622	-91.6924
-0.6894	0.7243	0.3877	-98.4911
-0.7057	0.7085	-0.3231	146.9879
-0.7057	0.7085	-0.2961	128.5328
-0.7057	0.7085	-0.2684	112.1229
-0.7057	0.7085	-0.2400	98.9009
-0.7057	0.7085	-0.2110	89.3120
-0.7057	0.7085	-0.1815	83.1070
-0.7057	0.7085	-0.1514	79.4838
-0.7057	0.7085	-0.1209	77.4660
-0.7057	0.7085	-0.0901	76.1111
-0.7057	0.7085	-0.0590	74.4968
-0.7057	0.7085	0.0662	47.2021
-0.7057	0.7085	0.0973	31.7699
-0.7057	0.7085	0.1281	13.1451
-0.7057	0.7085	0.1585	-6.9400
-0.7057	0.7085	0.1884	-26.3599
-0.7057	0.7085	0.2179	-43.6831
-0.7057	0.7085	0.2467	-57.6576
-0.7057	0.7085	0.2749	-68.2775
-0.7057	0.7085	0.3025	-76.5737
-0.7057	0.7085	0.3292	-83.6026
-0.7210	0.6930	-0.2629	125.3002
-0.7210	0.6930	-0.2351	110.4235
-0.7210	0.6930	-0.2066	99.3978
-0.7210	0.6930	-0.1776	92.1482
-0.7210	0.6930	-0.1482	87.9056
-0.7210	0.6930	-0.1183	85.6023
-0.7210	0.6930	-0.0881	84.0646
-0.7210	0.6930	-0.0577	82.0862
-0.7210	0.6930	-0.0271	78.6298
-0.7210	0.6930	0.0036	72.7443
-0.7210	0.6930	0.0342	63.4979
-0.7210	0.6930	0.0648	50.2344
-0.7210	0.6930	0.0952	33.0979
-0.7210	0.6930	0.1253	13.2587
-0.7210	0.6930	0.1551	-7.3749
-0.7210	0.6930	0.1844	-26.8138
-0.7210	0.6930	0.2133	-43.4954
-0.7210	0.6930	0.2416	-56.3618
-0.7210	0.6930	0.2694	-65.5877
-0.7352	0.6778	-0.1739	96.0360
-0.7352	0.6778	-0.1450	91.3315
-0.7352	0.6778	-0.1157	88.9178
-0.7352	0.6778	-0.0862	87.4435
-0.7352	0.6778	-0.0564	85.3768
-0.7352	0.6778	-0.0265	81.5197
-0.7352	0.6778	0.0035	74.9150
-0.7352	0.6778	0.0335	64.6994
-0.7352	0.6778	0.0634	50.4632
-0.7352	0.6778	0.0931	32.6745
-0.7352	0.6778	0.1226	12.6886
-0.7352	0.6778	0.1518	-7.5774
-0.7352	0.6778	0.1805	-26.1026
0.7632	0.6461	-0.1446	37.8656
0.7632	0.6461	-0.1155	31.9560
0.7632	0.6461	-0.0860	26.4023
0.7632	0.6461	-0.0563	21.2822
0.7632	0.6461	-0.0264	16.6591
0.7632	0.6461	0.0035	12.5419
0.7632	0.6461	0.0334	8.9308
0.7632	0.6461	0.0632	5.8421
0.7632	0.6461	0.0929	3.2310
0.7632	0.6461	0.1223	1.0833
0.7632	0.6461	0.1514	-0.5722
0.7503	0.6611	-0.2625	60.2444
0.7503	0.6611	-0.2347	53.1846
0.7503	0.6611	-0.2063	45.9375
0.7503	0.6611	-0.1773	39.1809
0.7503	0.6611	-0.1479	33.1083
0.7503	0.6611	-0.1181	27.6103
0.7503	0.6611	-0.0880	22.6096
0.7503	0.6611	-0.0576	18.0805
0.7503	0.6611	-0.0270	14.0492
0.7503	0.6611	0.0036	10.5157
0.7503	0.6611	0.0342	7.4692
0.7503	0.6611	0.0647	4.8836
0.7503	0.6611	0.0950	2.7064
0.7503	0.6611	0.1251	0.9238
0.7503	0.6611	0.1548	-0.4427
0.7503	0.6611	0.1841	-1.3703
0.7503	0.6611	0.2129	-1.8516
0.7503	0.6611	0.2412	-1.8910
0.7503	0.6611	0.2689	-1.4897
0.7364	0.6765	-0.3228	60.3766
0.7364	0.6765	-0.2958	58.5447
0.7364	0.6765	-0.2682	53.3352
0.7364	0.6765	-0.2398	46.6538
0.7364	0.6765	-0.2109	39.8248
0.7364	0.6765	-0.1813	33.5072
0.7364	0.6765	-0.1513	27.9024
0.7364	0.6765	-0.1208	22.9894
0.7364	0.6765	-0.0900	18.6678
0.7364	0.6765	-0.0589	14.8292
0.7364	0.6765	-0.0277	11.4451
0.7364	0.6765	0.0350	6.0057
0.7364	0.6765	0.0662	3.8993
0.7364	0.6765	0.0972	2.1488
0.7364	0.6765	0.1279	0.7391
0.7364	0.6765	0.1583	-0.3205
0.7364	0.6765	0.1883	-1.0168
0.7364	0.6765	0.2177	-1.3499
0.7364	0.6765	0.2465	-1.3376
0.7364	0.6765	0.2747	-0.9959
0.7364	0.6765	0.3022	-0.3139
0.7364	0.6765	0.3290	0.7485
0.7216	0.6923	-0.3819	32.9410
0.7216	0.6923	-0.3561	45.8054
0.7216	0.6923	-0.3295	50.5895
0.7216	0.6923	-0.3021	49.6596
0.7216	0.6923	-0.2740	45.3231
0.7216	0.6923	-0.2451	39.4280
0.7216	0.6923	-0.2156	33.3300
0.7216	0.6923	0.2225	-0.8608
0.7216	0.6923	0.2519	-0.7703
0.7216	0.6923	0.2806	-0.4427
0.7216	0.6923	0.3086	0.1117
0.7216	0.6923	0.3358	0.9109
0.7216	0.6923	0.3622	1.9797
0.7216	0.6923	0.3877	3.3089
0.7056	0.7086	-0.4389	-31.7266
0.7056	0.7086	-0.4146	0.3827
0.7056	0.7086	-0.3895	22.2916
0.7056	0.7086	-0.3634	35.0973
0.7056	0.7086	-0.3364	40.3941
0.7056	0.7086	-0.3086	40.3069
0.7056	0.7086	0.3151	0.5187
0.7056	0.7086	0.3428	1.1408
0.7056	0.7086	0.3695	1.9154
0.7056	0.7086	0.3954	2.8307
0.7056	0.7086	0.4204	3.8474
0.6886	0.7252	-0.4707	-66.5635
0.6886	0.7252	-0.4472	-31.5375
0.6886	0.7252	-0.4226	-4.3262
0.6886	0.7252	-0.3972	14.6178
0.6886	0.7252	-0.3707	26.0628
0.6886	0.7252	0.3770	1.9325
0.6886	0.7252	0.4032	2.5921
0.6886	0.7252	0.4284	3.2599
0.6886	0.7252	0.4527	3.8832
0.6886	0.7252	0.4761	4.4681
0.6703	0.7421	-0.5019	-72.1384
0.6703	0.7421	-0.4792	-44.1468
0.6703	0.7421	-0.4555	-20.3000
0.6703	0.7421	-0.4307	-1.4746
0.6703	0.7421	0.4366	2.9753
0.6703	0.7421	0.4611	3.3732
0.6703	0.7421	0.4846	3.6498
0.6703	0.7421	0.5071	3.9285
0.6507	0.7593	-0.5324	-26.1006
0.6507	0.7593	-0.5106	-13.1554
0.6507	0.7593	-0.4877	-4.1734
0.6507	0.7593	-0.4638	3.4223
0.6507	0.7593	0.4695	3.1886
0.6507	0.7593	0.4931	3.3954
0.6507	0.7593	0.5158	3.5334
0.6507	0.7593	0.5374	3.8779
0.6297	0.7768	-0.5620	86.6577
0.6297	0.7768	-0.5411	81.9707
0.6297	0.7768	-0.5192	68.5961
0.6297	0.7768	-0.4962	52.7310
0.6297	0.7768	0.5017	3.3861
0.6297	0.7768	0.5244	3.6012
0.6297	0.7768	0.5461	3.9540
0.6297	0.7768	0.5667	4.8622
0.6072	0.7945	-0.5905	261.6915
0.6072	0.7945	-0.5707	250.4755
0.6072	0.7945	-0.5498	215.2961
0.6072	0.7945	-0.5278	169.1220
0.6072	0.7945	0.5330	3.7169
0.6072	0.7945	0.5547	4.2373
0.6072	0.7945	0.5754	5.2161
0.6072	0.7945	0.5950	7.1044
0.5832	0.8123	-0.6179	463.5366
0.5832	0.8123	-0.5991	472.5075
0.5832	0.8123	-0.5792	433.7775
0.5832	0.8123	-0.5583	363.3336
0.5832	0.8123	0.5633	4.2999
0.5832	0.8123	0.5839	5.4223
0.5832	0.8123	0.6035	7.2857
0.5576	0.8301	-0.6261	697.7738
0.5576	0.8301	-0.6074	688.0979
0.5576	0.8301	-0.5876	619.1036
0.5576	0.8301	0.5923	5.1675
0.5576	0.8301	0.6118	7.0006
0.5576	0.8301	0.6304	9.5906
0.5302	0.8479	-0.6518	864.5393
0.5302	0.8479	-0.6342	917.3527
0.5302	0.8479	-0.6155	887.9062
0.5302	0.8479	0.6199	6.1598
0.5302	0.8479	0.6384	8.4191
0.5302	0.8479	0.6558	11.0170
0.5011	0.8654	-0.6760	929.5227
0.5011	0.8654	-0.6594	1058.9677
0.5011	0.8654	-0.6419	1100.8624
0.5011	0.8654	0.6277	4.9310
0.5011	0.8654	0.6461	6.8175
0.5011	0.8654	0.6634	8.7445
0.4701	0.8826	-0.6832	1087.6555
0.4701	0.8826	-0.6668	1208.9589
0.4701	0.8826	-0.6493	1233.4941
0.4701	0.8826	0.6535	5.0674
0.4701	0.8826	0.6707	6.3505
0.4701	0.8826	0.6869	6.6261
0.4374	0.8993	-0.7053	1013.4284
0.4374	0.8993	-0.6900	1197.3535
0.4374	0.8993	-0.6737	1306.7762
0.4374	0.8993	0.6605	3.4221
0.4374	0.8993	0.6776	4.1154
0.4374	0.8993	0.6936	3.5290
0.4028	0.9153	-0.7115	1098.2754
0.4028	0.9153	-0.6963	1263.3149
0.4028	0.9153	-0.6801	1347.2346
0.4028	0.9153	0.6840	2.1941
0.4028	0.9153	0.7000	0.8870
0.4028	0.9153	0.7149	-3.3177
0.3664	0.9305	-0.7173	1146.9962
0.3664	0.9305	-0.7022	1294.5174
0.3664	0.9305	0.6900	0.6250
0.3664	0.9305	0.7058	-1.2612
0.3664	0.9305	0.7206	-6.1831
0.3282	0.9446	-0.7365	1000.1474
0.3282	0.9446	-0.7225	1173.0623
0.3282	0.9446	-0.7076	1290.3621
0.3282	0.9446	0.7111	-2.9427
0.3282	0.9446	0.7258	-8.3448
0.2883	0.9575	-0.7411	1037.9623
0.2883	0.9575	-0.7272	1184.6249
0.2883	0.9575	-0.7123	1265.1148
0.2883	0.9575	0.7159	-4.1867
0.2883	0.9575	0.7305	-9.8569
0.2883	0.9575	0.7442	-20.2168
0.2469	0.9690	-0.7450	1068.1273
0.2469	0.9690	-0.7313	1187.4591
0.2469	0.9690	-0.7165	1241.2450
0.2469	0.9690	0.7200	-4.9971
0.2469	0.9690	0.7345	-10.7347
0.2469	0.9690	0.7481	-20.9500
0.2041	0.9790	-0.7484	1091.3604
0.2041	0.9790	-0.7347	1189.5357
0.2041	0.9790	0.7236	-5.3730
0.2041	0.9790	0.7380	-10.9946
0.2041	0.9790	0.7515	-20.8120
0.1600	0.9871	-0.7638	980.1242
0.1600	0.9871	-0.7511	1114.6658
0.1600	0.9871	-0.7375	1197.5791
0.1600	0.9871	0.7408	-10.7362
0.1600	0.9871	0.7542	-20.0158
0.1150	0.9934	-0.7658	1023.0895
0.1150	0.9934	-0.7532	1146.6641
0.1150	0.9934	-0.7396	1211.6821
0.1150	0.9934	0.7429	-10.1730
0.1150	0.9934	0.7562	-18.9099
0.0693	0.9976	-0.7672	1072.7284
0.0693	0.9976	-0.7546	1183.1156
0.0693	0.9976	-0.7410	1230.6695
0.0693	0.9976	0.7443	-9.6252
0.0693	0.9976	0.7576	-17.9484
0.0232	0.9997	-0.7679	1121.4313
0.0232	0.9997	-0.7553	1225.0490
0.0232	0.9997	-0.7418	1259.9411
0.0232	0.9997	0.7450	-9.4399
0.0232	0.9997	0.7583	-17.5689
0.0232	0.9997	0.7707	-30.3206
-0.0232	0.9997	-0.7679	1175.7533
-0.0232	0.9997	-0.7553	1272.8854
-0.0232	0.9997	-0.7418	1304.5167
-0.0232	0.9997	0.7450	-9.8786
-0.0232	0.9997	0.7583	-18.0676
-0.0232	0.9997	0.7707	-30.7266
-0.0693	0.9976	-0.7672	1251.9872
-0.0693	0.9976	-0.7546	1339.6197
-0.0693	0.9976	-0.7410	1367.5979
-0.0693	0.9976	0.7443	-11.0243
-0.0693	0.9976	0.7576	-19.5155
-0.1150	0.9934	-0.7658	1335.7579
-0.1150	0.9934	-0.7532	1422.6019
-0.1150	0.9934	-0.7396	1446.0623
-0.1150	0.9934	0.7429	-12.7826
-0.1150	0.9934	0.7562	-21.7694
-0.1600	0.9871	-0.7638	1406.9862
-0.1600	0.9871	-0.7511	1504.2319
-0.1600	0.9871	-0.7375	1530.5578
-0.1600	0.9871	0.7408	-14.9676
-0.1600	0.9871	0.7542	-24.5754
-0.2041	0.9790	-0.7484	1587.1140
-0.2041	0.9790	-0.7347	1618.1013
-0.2041	0.9790	0.7236	-10.6368
-0.2041	0.9790	0.7380	-17.4129
-0.2041	0.9790	0.7515	-27.6849
-0.2469	0.9690	-0.7450	1654.7845
-0.2469	0.9690	-0.7313	1701.4818
-0.2469	0.9690	-0.7165	1643.7521
-0.2469	0.9690	0.7200	-12.6960
-0.2469	0.9690	0.7345	-20.0334
-0.2469	0.9690	0.7481	-30.9607
-0.2883	0.9575	-0.7411	1686.8203
-0.2883	0.9575	-0.7272	1740.6393
-0.2883	0.9575	-0.7123	1694.8978
-0.2883	0.9575	0.7159	-14.9023
-0.2883	0.9575	0.7305	-22.7835
-0.2883	0.9575	0.7442	-34.3324
-0.3282	0.9446	-0.7365	1676.5558
-0.3282	0.9446	-0.7225	1733.0024
-0.3282	0.9446	-0.7076	1694.6316
-0.3282	0.9446	0.7111	-17.1809
-0.3282	0.9446	0.7258	-25.5508
-0.3664	0.9305	-0.7173	1692.8022
-0.3664	0.9305	-0.7022	1661.1255
-0.3664	0.9305	0.6900	-13.3510
-0.3664	0.9305	0.7058	-19.3821
-0.3664	0.9305	0.7206	-28.0989
-0.4028	0.9153	-0.7115	1605.9089
-0.4028	0.9153	-0.6963	1596.0439
-0.4028	0.9153	-0.6801	1491.3147
-0.4028	0.9153	0.6840	-15.1678
-0.4028	0.9153	0.7000	-21.3619
-0.4028	0.9153	0.7149	-30.1744
-0.4374	0.8993	-0.7053	1466.9982
-0.4374	0.8993	-0.6900	1479.6749
-0.4374	0.8993	-0.6737	1397.3070
-0.4374	0.8993	0.6605	-12.7680
-0.4374	0.8993	0.6776	-17.0778
-0.4374	0.8993	0.6936	-23.1307
-0.4701	0.8826	-0.6832	1311.1651
-0.4701	0.8826	-0.6668	1250.8632
-0.4701	0.8826	-0.6493	1115.4346
-0.4701	0.8826	0.6535	-15.3742
-0.4701	0.8826	0.6707	-19.4096
-0.4701	0.8826	0.6869	-24.9496
-0.5011	0.8654	-0.6760	1101.2657
-0.5011	0.8654	-0.6594	1069.7256
-0.5011	0.8654	-0.6419	966.4421
-0.5011	0.8654	0.6277	-16.1855
-0.5011	0.8654	0.6461	-19.1053
-0.5011	0.8654	0.6634	-22.5893
-0.5302	0.8479	-0.6518	856.5679
-0.5302	0.8479	-0.6342	787.4427
-0.5302	0.8479	-0.6155	672.2367
-0.5302	0.8479	0.6199	-21.6575
-0.5302	0.8479	0.6384	-24.2220
-0.5302	0.8479	0.6558	-26.8890
-0.5576	0.8301	-0.6261	595.7703
-0.5576	0.8301	-0.6074	520.6106
-0.5576	0.8301	-0.5876	425.6272
-0.5576	0.8301	0.5923	-26.1223
-0.5576	0.8301	0.6118	-28.6585
-0.5576	0.8301	0.6304	-30.6090
-0.5832	0.8123	-0.6179	410.6986
-0.5832	0.8123	-0.5991	372.8155
-0.5832	0.8123	-0.5792	316.8905
-0.5832	0.8123	-0.5583	254.3880
-0.5832	0.8123	0.5633	-32.0728
-0.5832	0.8123	0.5839	-34.8343
-0.5832	0.8123	0.6035	-36.7944
-0.6072	0.7945	-0.5905	243.3684
-0.6072	0.7945	-0.5707	222.1327
-0.6072	0.7945	-0.5498	191.0567
-0.6072	0.7945	-0.5278	157.7046
-0.6072	0.7945	0.5330	-39.9289
-0.6072	0.7945	0.5547	-42.6261
-0.6072	0.7945	0.5754	-44.5776
-0.6072	0.7945	0.5950	-45.4186
-0.6297	0.7768	-0.5620	148.1039
-0.6297	0.7768	-0.5411	143.7868
-0.6297	0.7768	-0.5192	132.2344
-0.6297	0.7768	-0.4962	117.9403
-0.6297	0.7768	0.5017	-49.7997
-0.6297	0.7768	0.5244	-52.3827
-0.6297	0.7768	0.5461	-54.0519
-0.6297	0.7768	0.5667	-54.5852
-0.6507	0.7593	-0.5324	114.5276
-0.6507	0.7593	-0.5106	120.1986
-0.6507	0.7593	-0.4877	118.5985
-0.6507	0.7593	-0.4638	111.5432
-0.6507	0.7593	0.4695	-59.9279
-0.6507	0.7593	0.4931	-63.0344
-0.6507	0.7593	0.5158	-64.8151
-0.6507	0.7593	0.5374	-65.1065
-0.6703	0.7421	-0.5019	121.8570
-0.6703	0.7421	-0.4792	129.2124
-0.6703	0.7421	-0.4555	128.0448
-0.6703	0.7421	-0.4307	120.4408
-0.6703	0.7421	0.4366	-67.1263
-0.6703	0.7421	0.4611	-71.4226
-0.6703	0.7421	0.4846	-74.2716
-0.6703	0.7421	0.5071	-75.2517
-0.6886	0.7252	-0.4707	148.7599
-0.6886	0.7252	-0.4472	151.1352
-0.6886	0.7252	-0.4226	145.4145
-0.6886	0.7252	-0.3972	134.0379
-0.6886	0.7252	-0.3707	119.3627
-0.6886	0.7252	0.3770	-63.1576
-0.6886	0.7252	0.4032	-68.7586
-0.6886	0.7252	0.4284	-74.1539
-0.6886	0.7252	0.4527	-78.6081
-0.6886	0.7252	0.4761	-81.3543
-0.7056	0.7086	-0.4389	178.8061
-0.7056	0.7086	-0.4146	173.8060
-0.7056	0.7086	-0.3895	162.3560
-0.7056	0.7086	-0.3634	146.9099
-0.7056	0.7086	-0.3364	129.7458
-0.7056	0.7086	-0.3086	112.7869
-0.7056	0.7086	0.3151	-54.9545
-0.7056	0.7086	0.3428	-59.7893
-0.7056	0.7086	0.3695	-64.6982
-0.7056	0.7086	0.3954	-69.9908
-0.7056	0.7086	0.4204	-75.3569
-0.7216	0.6923	-0.3819	190.9246
-0.7216	0.6923	-0.3561	174.5748
-0.7216	0.6923	-0.3295	156.0178
-0.7216	0.6923	-0.3021	137.1719
-0.7216	0.6923	-0.2740	119.6195
-0.7216	0.6923	-0.2451	104.4655
-0.7216	0.6923	-0.2156	92.3194
-0.7216	0.6923	0.2225	-34.1024
-0.7216	0.6923	0.2519	-43.5011
-0.7216	0.6923	0.2806	-49.6486
-0.7216	0.6923	0.3086	-53.7832
-0.7216	0.6923	0.3358	-57.2148
-0.7216	0.6923	0.3622	-61.0154
-0.7216	0.6923	0.3877	-65.6367
-0.7364	0.6765	-0.3228	179.3371
-0.7364	0.6765	-0.2958	158.7191
-0.7364	0.6765	-0.2682	139.0344
-0.7364	0.6765	-0.2398	121.5502
-0.7364	0.6765	-0.2109	107.1115
-0.7364	0.6765	-0.1813	96.0301
-0.7364	0.6765	-0.1513	88.0736
-0.7364	0.6765	-0.1208	82.6655
-0.7364	0.6765	-0.0900	78.9078
-0.7364	0.6765	-0.0589	75.7095
-0.7364	0.6765	-0.0277	71.8630
-0.7364	0.6765	0.0350	57.4489
-0.7364	0.6765	0.0662	45.1775
-0.7364	0.6765	0.0972	29.5541
-0.7364	0.6765	0.1279	11.8020
-0.7364	0.6765	0.1583	-5.9905
-0.7364	0.6765	0.1883	-21.8083
-0.7364	0.6765	0.2177	-34.2224
-0.7364	0.6765	0.2465	-42.4025
-0.7364	0.6765	0.2747	-46.9065
-0.7364	0.6765	0.3022	-49.2325
-0.7364	0.6765	0.3290	-51.0241
-0.7503	0.6611	-0.2625	152.8182
-0.7503	0.6611	-0.2347	133.3004
-0.7503	0.6611	-0.2063	116.8501
-0.7503	0.6611	-0.1773	104.0288
-0.7503	0.6611	-0.1479	94.7994
-0.7503	0.6611	-0.1181	88.6107
-0.7503	0.6611	-0.0880	84.4097
-0.7503	0.6611	-0.0576	80.8662
-0.7503	0.6611	-0.0270	76.5421
-0.7503	0.6611	0.0036	69.9547
-0.7503	0.6611	0.0342	60.1135
-0.7503	0.6611	0.0647	46.6386
-0.7503	0.6611	0.0950	29.9774
-0.7503	0.6611	0.1251	11.6189
-0.7503	0.6611	0.1548	-6.1831
-0.7503	0.6611	0.1841	-21.4869
-0.7503	0.6611	0.2129	-32.7816
-0.7503	0.6611	0.2412	-39.4551
-0.7503	0.6611	0.2689	-42.3099
-0.7632	0.6461	-0.1446	95.7446
-0.7632	0.6461	-0.1155	89.2461
-0.7632	0.6461	-0.0860	85.0936
-0.7632	0.6461	-0.0563	81.6517
-0.7632	0.6461	-0.0264	77.3526
-0.7632	0.6461	0.0035	70.4847
-0.7632	0.6461	0.0334	60.0633
-0.7632	0.6461	0.0632	46.1514
-0.7632	0.6461	0.0929	29.3343
-0.7632	0.6461	0.1223	11.0971
-0.7632	0.6461	0.1514	-6.1652
0.7897	0.6135	-0.1150	36.2171
0.7897	0.6135	-0.0856	29.8536
0.7897	0.6135	-0.0560	23.8729
0.7897	0.6135	-0.0263	18.4500
0.7897	0.6135	0.0035	13.6865
0.7897	0.6135	0.0333	9.6236
0.7897	0.6135	0.0629	6.2201
0.7897	0.6135	0.0925	3.4023
0.7897	0.6135	0.1218	1.1293
0.7780	0.6282	-0.2339	59.3427
0.7780	0.6282	-0.2055	51.8012
0.7780	0.6282	-0.1767	44.7700
0.7780	0.6282	-0.1474	38.1736
0.7780	0.6282	-0.1177	31.9426
0.7780	0.6282	-0.0876	26.0628
0.7780	0.6282	-0.0574	20.6638
0.7780	0.6282	-0.0269	15.8582
0.7780	0.6282	0.0036	11.7103
0.7780	0.6282	0.0341	8.2259
0.7780	0.6282	0.0644	5.3411
0.7780	0.6282	0.0947	2.9557
0.7780	0.6282	0.1246	1.0143
0.7780	0.6282	0.1542	-0.4858
0.7780	0.6282	0.1835	-1.5309
0.7780	0.6282	0.2122	-2.1090
0.7780	0.6282	0.2404	-2.2057
0.7656	0.6434	-0.3220	72.5718
0.7656	0.6434	-0.2951	67.7174
0.7656	0.6434	-0.2675	60.7096
0.7656	0.6434	-0.2392	53.0345
0.7656	0.6434	-0.2103	45.6599
0.7656	0.6434	-0.1808	38.8949
0.7656	0.6434	-0.1508	32.7209
0.7656	0.6434	-0.1205	27.0627
0.7656	0.6434	-0.0897	21.8747
0.7656	0.6434	-0.0587	17.1982
0.7656	0.6434	-0.0276	13.1011
0.7656	0.6434	0.0036	9.6256
0.7656	0.6434	0.0349	6.7478
0.7656	0.6434	0.0660	4.3825
0.7656	0.6434	0.0969	2.4351
0.7656	0.6434	0.1276	0.8546
0.7656	0.6434	0.1579	-0.3691
0.7656	0.6434	0.1877	-1.2283
0.7656	0.6434	0.2171	-1.7143
0.7656	0.6434	0.2458	-1.8208
0.7656	0.6434	0.2740	-1.5271
0.7656	0.6434	0.3014	-0.7806
0.7656	0.6434	0.3281	0.4925
0.7522	0.6590	-0.3812	55.9246
0.7522	0.6590	-0.3555	63.0855
0.7522	0.6590	-0.3290	63.3639
0.7522	0.6590	-0.3016	59.1862
0.7522	0.6590	-0.2735	52.7195
0.7522	0.6590	-0.2447	45.5609
0.7522	0.6590	-0.2152	38.7015
0.7522	0.6590	0.2221	-1.2640
0.7522	0.6590	0.2514	-1.3278
0.7522	0.6590	0.2801	-1.0957
0.7522	0.6590	0.3081	-0.5353
0.7522	0.6590	0.3352	0.4107
0.7522	0.6590	0.3616	1.8015
0.7522	0.6590	0.3871	3.6612
0.7377	0.6751	-0.4143	28.1617
0.7377	0.6751	-0.3891	44.3455
0.7377	0.6751	-0.3630	51.9459
0.7377	0.6751	-0.3361	52.9313
0.7377	0.6751	-0.3083	49.5628
0.7377	0.6751	0.3148	-0.1889
0.7377	0.6751	0.3425	0.4960
0.7377	0.6751	0.3692	1.4802
0.7377	0.6751	0.3951	2.7855
0.7377	0.6751	0.4200	4.4014
0.7222	0.6916	-0.4707	-35.9351
0.7222	0.6916	-0.4472	-4.2134
0.7222	0.6916	-0.4227	19.0959
0.7222	0.6916	-0.3972	33.8187
0.7222	0.6916	-0.3707	41.0793
0.7222	0.6916	0.3770	1.3252
0.7222	0.6916	0.4032	2.1985
0.7222	0.6916	0.4285	3.2501
0.7222	0.6916	0.4528	4.4674
0.7222	0.6916	0.4761	5.8897
0.7056	0.7086	-0.5024	-55.7021
0.7056	0.7086	-0.4797	-26.5999
0.7056	0.7086	-0.4559	-2.5886
0.7056	0.7086	-0.4311	15.0430
0.7056	0.7086	0.4370	2.4981
0.7056	0.7086	0.4616	3.2131
0.7056	0.7086	0.4851	4.0119
0.7056	0.7086	0.5076	5.0423
0.6876	0.7261	-0.5334	-34.0954
0.6876	0.7261	-0.5116	-16.8824
0.6876	0.7261	-0.4887	-2.5857
0.6876	0.7261	-0.4647	9.2358
0.6876	0.7261	0.4704	2.4767
0.6876	0.7261	0.4941	2.8851
0.6876	0.7261	0.5168	3.4109
0.6876	0.7261	0.5384	4.3523
0.6684	0.7438	-0.5636	46.3291
0.6684	0.7438	-0.5427	47.9299
0.6684	0.7438	-0.5207	43.2882
0.6684	0.7438	0.5032	2.3553
0.6684	0.7438	0.5259	2.6322
0.6684	0.7438	0.5476	3.2119
0.6684	0.7438	0.5683	4.5407
0.6476	0.7620	-0.5927	187.1930
0.6476	0.7620	-0.5728	179.6986
0.6476	0.7620	-0.5519	154.7165
0.6476	0.7620	0.5351	2.4292
0.6476	0.7620	0.5569	2.8975
0.6476	0.7620	0.5775	3.9892
0.6476	0.7620	0.5972	6.2134
0.6254	0.7803	-0.6206	364.2173
0.6254	0.7803	-0.6018	368.9599
0.6254	0.7803	-0.5820	336.2248
0.6254	0.7803	0.5660	3.0009
0.6254	0.7803	0.5867	4.0564
0.6254	0.7803	0.6063	6.0692
0.6254	0.7803	0.6249	9.4104
0.6014	0.7989	-0.6473	529.1511
0.6014	0.7989	-0.6296	574.9525
0.6014	0.7989	-0.6109	562.4555
0.6014	0.7989	-0.5910	501.4613
0.6014	0.7989	0.5958	4.2537
